Frequency Output,Frequency Input,FCC Callsign,County,State,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
143.730000,0.00000, ,Peel,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 009 Britannia 09BRIT Mississauga, , ,Motorola, ,TRS
143.775000,0.00000, ,York,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 039 King City 39KING, , ,Motorola, ,TRS
144.940000,0.00000,VE3YYZ,Toronto,ON,2 M Band,VE3YYZ DSTAR  Toronto,VE3YYZ-C,,D-STAR,RM,Ham
145.110000,144.51000,VE3WOO,Toronto,ON,2 M Band,VE3WOO  Toronto,VE3WOO,82.5 PL,FM,RM,Ham
145.130000,144.53000,VA3GTU,Toronto,ON,2 M Band,VA3GTU  Toronto,VA3GTU,,FM,RM,Ham
145.230000,144.63000,VE3OBN,Toronto,ON,2 M Band,VE3OBN  Toronto,VE3OBN,,FM,RM,Ham
145.310000,144.71000,VE3GSR,York,ON,2 M Band,VE3GSR  King City,VE3GSR,,FM,RM,Ham
145.350000,144.75000,VE3YRA,York,ON,2 M Band,VE3YRA  King City,VE3YRA,103.5 PL,FM,RM,Ham
145.370000,144.77000,VE3CTV,Toronto,ON,2 M Band,VE3CTV  Toronto,VE3CTV,,FM,RM,Ham
145.410000,144.81000,VE3TWR,Toronto,ON,2 M Band,VE3TWR  Toronto,VE3TWR,103.5 PL,FM,RM,Ham
145.430000,144.83000,VE3MIS,Peel,ON,2 M Band,VE3MIS  Mississauga,VE3MIS,,FM,RM,Ham
145.450000,144.85000,VE3PYL,Peel,ON,2 M Band,VE3PYL  Mississauga,VE3PYL,,FM,RM,Ham
145.470000,144.87000,VE3ULR,York,ON,2 M Band,VE3ULR  Ballantrae,VE3ULR,,FM,RM,Ham
146.610000,146.01000,VE3WAS,York,ON,2 M Band,VE3WAS  King City,VE3WAS,,FM,RM,Ham
146.700000,146.10000,VE3RDP,Peel,ON,2 M Band,VE3RDP  Inglewood,VE3RDP,,FM,RM,Ham
146.715000,146.11500,VE3WIK,Hamilton,ON,2 M Band,VE3WIK  Carlisle,VE3WIK,,FM,RM,Ham
146.745000,146.14500,VA3RTC,Toronto,ON,2 M Band,VA3RTC  Toronto,VA3RTC,136.5 PL,FM,RM,Ham
146.760000,146.16000,VE3NCF,Hamilton,ON,2 M Band,VE3NCF  Hamilton,VE3NCF,,FM,RM,Ham
146.880000,146.28000,VE3PRC,Peel,ON,2 M Band,VE3PRC Brampton,VE3PRC,,FM,RM,Ham
146.895000,147.49500,VE3RAE,Halton,ON,2 M Band,VE3RAE Burlington ARES Backup,VE3RAE,,FM,RM,Ham
146.940000,146.34000,VE3TOR,Toronto,ON,2 M Band,VE3TOR  Toronto,VE3TOR,,FM,RM,Ham
146.970000,146.37000,VA3SUP,Durham,ON,2 M Band,VA3SUP  Whitby,VA3SUP,156.7 PL,FM,RM,Ham
146.985000,146.38500,VE3SKY,Toronto,ON,2 M Band,VE3SKY  Toronto,VE3SKY,103.5 PL,FM,RM,Ham
147.015000,147.61500,VE3OAK,Halton,ON,2 M Band,VE3OAK  Oakville,VE3OAK,,FM,RM,Ham
147.030000,147.63000,VE3RSS,Halton,ON,2 M Band,VE3RSS  Acton,VE3RSS,,FM,RM,Ham
147.060000,147.66000,VE3RPT,Durham,ON,2 M Band,VE3RPT  Uxbridge,VE3RPT,103.5 PL,FM,RM,Ham
147.120000,147.72000,VE3OSH,Durham,ON,2 M Band,VE3OSH  Oshawa,VE3OSH,156.7 PL,FM,RM,Ham
147.135000,147.73500,VE3OD,Halton,ON,2 M Band,VE3OD  Georgetown  Halton ARES,VE3OD,,FM,RM,Ham
147.150000,147.75000,VE3WOM,Durham,ON,2 M Band,VE3WOM  Whitby,VE3WOM,103.5 PL,FM,RM,Ham
147.180000,147.78000,,York,ON,2 M Band,VE3YRK DSTAR,VE3YRK,,D-STAR,RM,Ham
147.180000,147.78000,VE3MOT,York,ON,2 M Band,VE3MOT  Richmond Hill,VE3MOT,,FM,RM,Ham
147.210000,147.81000,VE3RSB,Halton,ON,2 M Band,VE3RSB  Burlington ARES,VE3RSB,,FM,RM,Ham
147.225000,147.82500,VE3YRC,York,ON,2 M Band,VE3YRC  Aurora,VE3YRC,103.5 PL,FM,RM,Ham
147.270000,147.87000,VE3TNC,Toronto,ON,2 M Band,VE3TNC  Toronto,VECTNC,,FM,RM,Ham
147.330000,147.93000,VA3BAL,York,ON,2 M Band,VA3BAL  Ballantrae,VA3BAL,103.5 PL,FM,RM,Ham
147.345000,147.94500,VE3PDX,Hamilton,ON,2 M Band,VE3PDX  Stoney Creek,VE3PDX,,FM,RM,Ham
147.375000,147.97500,VE3SPA,Durham,ON,2 M Band,VE3SPA  Pickering,VE3SPA,103.5 PL,FM,RM,Ham
148.030000,0.00000,VCX663,Peel,ON,Transportation Caledon East,First Student Canada,First Canada,162.2 PL,FM,BM,Transportation
148.195000,143.21000,VEU942,York,ON,Business Vaughan,Maloron Communications ,MaloronComms,146.2 PL,FM,RM,Business
148.435000,0.00000,VBV409,Toronto,ON,Business School Buses,Cardinal ,Cardinal ,103.5 PL,FM,BM,Transportation
148.555000,0.00000,CIM345,Toronto,ON,Business Taxi,OnTime taxi,On-Time,155 DPL,FM,BM,Transportation
149.110000,0.00000,,Toronto,ON,Education Toronto District School Board,Second St Middle,Second St MS,118.8 PL,FM,BM,Schools
149.170000,149.60500,XMJ707,Durham,ON,Clarington,Darlington Provincial Park,DarlingtonPP,,FM,BM,Multi-Talk
149.290000,0.00000,XOH437,Durham,ON,Ontario Power Generation  Pickering,Ontario Power Generation  Paging ,OPG Pickrng,,FM,B,Data
149.770000,0.00000,VBE302,Durham,ON,Business Clarington,Bell Mobile Paging,Bell Paging,,FM,F,Data
150.070000,164.31000,XNB39,Durham,ON,Business Oshawa,TaxiTaxi,Taxi-Taxi,123.0 PL,FM,RM,Transportation
150.215000,0.00000,CFF200,Toronto,ON,Business Taxi,Crown Taxi,Crown Taxi,127.3 PL,FM,BM,Transportation
150.280000,0.00000,CIZ510,Toronto,ON,Business Taxi,Beck Taxi subcontract for WheelTrans Cars,Beck/Wheeltr,223 DPL,FM,BM,Transportation
150.310000,0.00000,VCK449,Toronto,ON,Business Taxi,Able Atlantic Taxi,AbleAtlantic,123.0 PL,FM,BM,Transportation
150.425000,157.63500,VAF579,Durham,ON,Whitby Hydro Energy Services Corporation,Whitby Hydro Energy Services Corporation,WHES Corp,136.5 PL,FM,RM,Utilities
150.455000,0.00000,,Halton,ON,Golf Courses Burlington Golf and Country Club,Operations,BG & CC,,FM,BM,Business
150.485000,0.00000,VCK450,Toronto,ON,Business Taxi,Able Atlantic Taxi,AbleAtlantic,123.0 PL,FM,BM,Transportation
150.575000,0.00000,,Hamilton,ON,Regionwide,Hamilton EMS  Paging,HEMS,,FM,F,EMS Dispatch
150.670000,151.79000,CJY731,Toronto,ON,Media Rogers Communications,Traffic,Rogers,110.9 PL,FM,RM,Media
150.695000,0.00000,XMI934,Hamilton,ON,Regionwide,Hamilton EMS  Paging ,HEMS ,,FMN,F,EMS Dispatch
150.800000,0.00000,VCR540,Toronto,ON,Media Rogers Communications,Darryl Dahmer  Skymaster 1,DarrylDahmer,110.9 PL,FM,BM,Media
150.815000,163.87500,,Toronto,ON,Business Taxi,Metro Cab,Metro Cab,,FM,RM,Transportation
150.845000,164.85000,CFY202,Peel,ON,Transportation Mississauga,The Cab Company,CabCompany,107.2 PL,FM,RM,Transportation
150.845000,0.00000,,Peel,ON,Transportation Mississauga,A Black Cab,A Black Cab,107.2 PL,FMN,BM,Transportation
150.965000,0.00000,CFV376,York,ON,Business King City,Sharp Bus Lines Ch 2,Sharp BL 2,203.5 PL,FM,BM,Transportation
151.055000,0.00000,,Durham,ON,Ontario Community Emergency Assistance Program,Ontario Community Emergency Assistance Program,OCEAP,,FM,M,Emergency Ops
151.055000,0.00000,,Durham,ON,Business Whitby,LocPipe,Loc-Pipe,107.2 PL,FM,BM,Business
151.070000,0.00000,,Durham,ON,Attractions Canadian Tire Motorsport Park,CTMP Ch 1 TowerKarting Track Operations,CTMP 1,115 DPL,FM,M,Business
151.070000,0.00000,VFN326,Peel,ON,Bolton,Peel Regional Road 50 Weigh Scales ,PR Scales,123.0 PL,FM,BM,Public Works
151.085000,0.00000,,Durham,ON,Ontario Community Emergency Assistance Program,Ontario Community Emergency Assistance Program,OCEAP,,FM,M,Emergency Ops
151.085000,0.00000,,Durham,ON,Business Oshawa,Miller Paving,Miller Paving,,FM,BM,Business
151.085000,0.00000,,Durham,ON,Business Brock Township,Canada Building Materials,CBM,103.5 PL,FM,BM,Business
151.085000,0.00000,,Durham,ON,Business Oshawa,Morris Chemicals,Morris Chem,,FM,BM,Business
151.085000,0.00000,,Hamilton,ON,African Lion Safari African Lion Safari,Tour Guides  Wardens,Guides,156.7 PL,FM,M,Business
151.100000,0.00000,,Hamilton,ON,Hamilton General,Cardiac Ward Paging,HGH - paging,,FM,F,Hospital
151.100000,0.00000,,Durham,ON,Attractions The Clarington Family Outdoor Adventure Park,The Clarington Family Outdoor Adventure Park,ClarFamilyPark,226 DPL,FM,M,Business
151.155000,0.00000,,Durham,ON,Ontario Community Emergency Assistance Program,Ontario Community Emergency Assistance Program,OCEAP,,FM,M,Emergency Ops
151.295000,0.00000, ,Toronto,ON,  MetroNET,Site 001 MetroNET, , ,DMR, ,TRS
151.565000,152.03000,CZX87,Toronto,ON,Business Construction,Dufferin Concrete ,DufferinConc,162.2 PL,FM,RM,Business
151.580000,0.00000,,Durham,ON,Attractions The Clarington Family Outdoor Adventure Park,Bowmanville Zoo ,Bow Zoo,226 DPL,FM,M,Business
151.580000,0.00000,,Durham,ON,Business Clarington,Algoma Orchards,Algoma,167.9 PL,FM,M,Business
151.580000,0.00000,CGH933,Hamilton,ON,Business Waterdown,Connon Nurseries Ch 1,Connon Ch.1,118.8 PL,FM,BM,Business
151.580000,0.00000,,Hamilton,ON,African Lion Safari African Lion Safari,Channel 2,Ch. 2,156.7 PL,FMN,M,Business
151.760000,0.00000,VCS681,Durham,ON,Business Oshawa,City Wide Taxi,City Wide,123.0 PL,FM,BM,Transportation
151.925000,0.00000,Multiple,Toronto,ON,Toronto Transit Commission,Streetcar Maintenance of Way,TTC Maint,,P25,BM,Transportation
152.000000,0.00000, ,Toronto,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 040 Mowat 40MOWT Toronto, , ,Motorola, ,TRS
152.015000,0.00000,VCZ34,Hamilton,ON,Business Waterdown,Connon Nurseries Ch 2,Connon Ch.2,118.8 PL,FM,BM,Business
152.045000,0.00000,XNI525,Durham,ON,Business Clarington,Dufferin Concrete,Dufferin,250.3 PL,FM,BM,Business
152.090000,0.00000,CJY420,Toronto,ON,Media Bell Media Queen Street Bureau,CTV CP24  Mobile Link,CTV-CP24,136.5 PL,FM,BM,Media
152.240000,0.00000,,Toronto,ON,Attractions Live Nation,Food and Beverage  Warehouse ,F/B WH,CC 1|TG 1|SL 1,DMR,BM,Business
152.270000,0.00000,XNH35,Durham,ON,Business Whitby,Pilgrim Transportation Services,Pilgrim Tran,110.9 PL,FM,BM,Transportation
152.345000,0.00000,XJM601,Halton,ON,Regionwide,Fire Dispatch  Regional South,Appleby Disp,,FM,BM,Fire Dispatch
152.525000,159.76500,CKR834,Hamilton,ON,Business Hamilton,Sharp Bus Lines,Sharp B L,205 DPL,FMN,RM,Transportation
152.585000,0.00000, ,Hamilton,ON,  Horizon Utilities Corporation ,Site 001 Hamilton, , ,DMR, ,TRS
153.125000,0.00000,XJM673,Durham,ON,Clarington,Clarington Fire Services  Paging,CFES PAGE,74.4 PL,FM,B,Fire Dispatch
153.470000,0.00000, ,Hamilton,ON,  Horizon Utilities Corporation ,Site 001 Hamilton, , ,DMR, ,TRS
153.500000,0.00000,,Hamilton,ON,McMaster University,Maintenance,Maintenance,,FM,BM,Schools
153.545000,0.00000,XJJ56,Hamilton,ON,Hamilton,Work Channel,Work Channel,179.9 PL,FM,BM,Utilities
153.590000,153.09500,XJI33,Durham,ON,Oshawa PUC Networks,Oshawa PUC Networks,OSH PUC,151.4 PL,FM,RM,Utilities
153.620000,0.00000,VCS867,Hamilton,ON,Business Waterdown,Connon Nurseries Ch 3,Connon Ch.3,118.8 PL,FM,BM,Business
153.665000,0.00000,,York,ON,Richmond Hill,Central York Fire Service  Paging,CYFS - Pg,CSQ,FM,B,Fire Dispatch
153.740000,0.00000,,Durham,ON,Oshawa PUC Networks,Oshawa PUC Networks  Simplex,OSH PUC SIM,151.4 PL,FM,BM,Utilities
153.860000,0.00000,CFF552,Durham,ON,Townships of Brock Scugog Town of Uxbridge Fire Services,North Durham Region Fire  Paging,NDRF PAGE,,FM,RM,Fire Dispatch
153.950000,0.00000, ,Peel,ON,  Caledon Town,Site 001 Concession 6, , ,LTR, ,TRS
154.160000,0.00000,XJF647,Halton,ON,Milton,Fire Dispatch ,MiltonFD VHF,,FM,BM,Fire Dispatch
154.160000,0.00000,VFX658,Halton,ON,Halton Hills,Town Fire Department,Tof HH FD,,FM,BM,Fire Dispatch
154.205000,0.00000,XJM921,Halton,ON,Burlington,Fire Dispatch  Simulcast,Appleby Disp,,FM,B,Fire Dispatch
154.250000,0.00000,,Hamilton,ON,Regionwide,Fire Dispatch Trunk Simulcast,HFS Disptch,,FM,B,Fire Dispatch
154.490000,0.00000,VX9AI,Hamilton,ON,Business Hamilton,Kenneth R Awrey,K R Awrey,412 DPL,FMN,BM,Business
154.570000,0.00000,,Toronto,ON,Attractions Live Nation,Guest Services,Guest Serv,CC 4|TG 1|SL 1,DMR,BM,Business
154.570000,0.00000,,Durham,ON,Business Pickering,Royal Ashburn Golf Club,Royal Ashburn,,FM,BM,Business
154.570000,151.08500,XKT565,Hamilton,ON,African Lion Safari African Lion Safari,Channel 1  Main,Ch. 1 Main,156.7 PL,FM,RM,Business
154.570000,0.00000,,Peel,ON,Business Various,Town II Condominium  Property Management ,Town II PM,CSQ,FMN,BM,Business
154.570000,0.00000,,Toronto,ON,Attractions Live Nation,Food and Beverage,F/B,CC 1|TG 1|SL 2,DMR,BM,Business
154.600000,0.00000,XJJ56,Hamilton,ON,Hamilton,Horizon Utilities,Horizon Util,136.5 PL,FM,BM,Utilities
154.800000,168.55500,CIY564,York,ON,Business King City,A Cab Taxi Services,A Cab Taxi,141.3 PL,FM,RM,Transportation
154.845000,0.00000,CIZ510,Toronto,ON,Business Taxi,Beck Taxi subcontract for WheelTrans Dispatch,Beck/Wheeltr,223 DPL,FM,BM,Transportation
154.920000,0.00000,CIK489,Toronto,ON,Business Taxi,Royal Taxi ,Royal Taxi,156.7 PL,FM,BM,Transportation
154.950000,163.06500,,Toronto,ON,Business Construction,Dufferin Concrete,DufferinConc,CC 10|TG 1|SL 1,DMR,RM,Business
155.415000,151.10000,,Hamilton,ON,African Lion Safari African Lion Safari,Koho Food Services,Koho Food,606 DPL,FMN,RM,Business
155.520000,0.00000,CZJ307,Toronto,ON,Business Taxi,Beck Taxi subcontract for WheelTrans Cars,Beck Taxi ,223 DPL,FMN,BM,Transportation
155.550000,0.00000,,York,ON,Business Newmarket,Switzer Carty Bus,SwitzerCarty,265 DPL,FM,BM,Transportation
155.550000,0.00000,,Peel,ON,Transportation Brampton,Switzer Carty,SwitzerCarty,265 DPL,FMN,BM,Transportation
155.700000,158.71500,XNH662,Hamilton,ON,City Services,Hamilton Port Authority,HPA,CC 1|TG 1|SL 1,DMR,RM,Federal
155.700000,158.71500,XNH662,Hamilton,ON,City Services,Hamilton Port Authority  GPS location data,HPA GPS,CC 1|TG 16776415|SL 1,DMR,RM,Data
156.150000,0.00000,,Peel,ON,Region Wide,Dispatch  MississaugaBrampton and Caledon,PeelStnPage,CSQ,FM,B,Data
157.500000,0.00000,,Peel,ON,Retail Mississauga,Lowes  5348 Mavis Road,Lowe's Mavis,CSQ,FMN,BM,Business
157.545000,0.00000,VBT349,Toronto,ON,Business School Buses,Stock Transportation,Stock,127.3 PL,FM,BM,Transportation
158.175000,0.00000,VCT356,Hamilton,ON,Business Hamilton,Dufferin Concrete,Dufferin ,411 DPL,FM,BM,Business
158.175000,0.00000,,Durham,ON,Business Whitby,Dufferin Concrete,Dufferin,,FM,BM,Business
158.505000,0.00000,VCT585,Peel,ON,Transportation Brampton,Parkinson Coach Lines ,Parkinson CL,156.7 PL,FM,BM,Transportation
158.610000,0.00000,CIK493,Peel,ON,Transportation Mississauga,Trott Transit,TrottTransit,88.5 PL,FM,BM,Transportation
158.610000,0.00000,,Peel,ON,Transportation Mississauga,Switzer Carty  Long Bus ,SC Long,88.5 PL,FMN,BM,Transportation
158.790000,0.00000,XJG580,York,ON,Vaughan,Vaughan Parks Joint Operations Centre,VaughnParks,67.0 PL,FM,BM,Public Works
158.925000,0.00000,CKO327,Toronto,ON,Business School Buses,Stock Transportation,Stock,127.3 PL,FM,BM,Transportation
159.135000,0.00000,CIM237,Toronto,ON,Business Taxi,Beck Taxi ,Beck Taxi,94.8 PL,FM,BM,Transportation
159.405000,168.63000,XJJ442,York,ON,Vaughan,Vaughan Works Joint Operations Centre,VaughnWorks2,,FM,RM,Public Works
159.810000,0.00000,,Durham,ON,Government of Canada,Industry Canada,IC,,FM,BM,Federal
159.990000,0.00000,,Toronto,ON,Business Taxi,AAA Best Choice Taxi,AAA Best Chc,136.5 PL,FM,BM,Transportation
162.060000,0.00000,VFR494,Toronto,ON,Business School Buses,Cardinal ,Cardinal,103.5 PL,FM,BM,Transportation
162.165000,0.00000,VAX564,Hamilton,ON,Business Hamilton,Caledonia Transportation,Caledonia Tr,110.9 PL,FM,BM,Transportation
162.165000,0.00000,VAX564,Hamilton,ON,Business Hamilton,Caledonia Transportation,Caledonia,110.9 PL,FM,BM,Business
162.240000,166.32000,XKX726,Toronto,ON,Business Couriers,Jesk Enterprises Ltd,Jesk Entrps,146.2 PL,FM,RM,Business
162.255000,0.00000, ,Hamilton,ON,  Talk Wireless LTR VHF Hamilton,Site 001 Confirmed LCN, , ,LTR, ,TRS
162.570000,0.00000,CFU364,Hamilton,ON,Business Cranston,Caledonia Transportation ,Caledonia Tr,110.9 PL,FM,BM,Transportation
162.720000,150.36500,CKL761,Toronto,ON,Business Taxi,Beck Taxi,Beck Taxi,114.8 PL,FM,RM,Transportation
162.735000,0.00000,CFU256,Hamilton,ON,Regionwide,Hamilton Regional Conservation Authority,HRCA 1,151.4 PL,FM,M,Public Works
162.780000,0.00000,CYE432,Toronto,ON,Business Taxi,Beck Taxi subcontract for WheelTrans Cars,Beck Taxi,71.9 PL,FM,BM,Transportation
162.810000,0.00000,VCL915,Hamilton,ON,Business Dundas,Carmeuse Lime and Stone,Carmeuse,103.5 PL,FM,BM,Business
163.020000,0.00000,VOT603,Hamilton,ON,Business Hamilton,Lafarge Paving and Costruction,Lafarge,110.9 PL,FM,BM,Business
163.065000,0.00000,VFV251,Hamilton,ON,Business Hamilton,Dufferin Concrete,Dufferin ,77.0 PL,FM,BM,Business
163.080000,0.00000,VBE858,York,ON,Business Vaughan,Astro Taxi COOP,Astro Taxi,123.0 PL,FM,BM,Transportation
163.170000,168.67500,CHC985,Hamilton,ON,Regionwide,Region Plows,HamiltonPlow,114.8 PL,FM,RM,Public Works
163.200000,0.00000,,Durham,ON,Attractions Canadian Tire Motorsport Park,Bobs Towing wCTMP,Bob's Towing,114.8 PL,FM,M,Business
163.200000,0.00000,VCX676,Durham,ON,Business Oshawa,Bobs Towing,Bob's Tow,114.8 PL,FM,BM,Business
163.230000,167.34000,VOV227,Toronto,ON,Business Taxi,Crown Taxi,Crown Taxi,107.2 PL,FM,RM,Transportation
163.290000,150.87500,CKL760,Toronto,ON,Business Taxi,Beck Taxi,Beck Taxi,94.8 PL,FM,RM,Transportation
163.500000,167.16000,VFW483,Toronto,ON,Business Couriers,TransOntario Express,TransOntario,146.2 PL,FM,RM,Business
163.590000,150.56500,VOX272,Toronto,ON,Business Taxi,Beck Taxi subcontract for WheelTrans Cars,Beck Taxi,88.5 PL,FMN,RM,Transportation
163.650000,0.00000,CYE388,Toronto,ON,Business Airport Taxi and Limousine,Aerofleet Taxi,Aerofleet,167.9 PL,FMN,BM,Transportation
163.770000,0.00000,,Halton,ON,Business Milton,Union Gas ,Union Gas,118.8 PL,FM,BM,Utilities
163.785000,0.00000,VBE578,Toronto,ON,Business Taxi,Crown Taxi 2 Bloor Street E,Crown Taxi,156.7 PL,FM,BM,Transportation
163.800000,0.00000,CYB683,Hamilton,ON,Business Lynden,Joost AH Dr Blieck Josnar Acres,Josnar Acres,192.8 PL,FM,BM,Business
163.875000,150.81500,XNI61,Toronto,ON,Business Taxi,Beck Taxi  Central Dispatch  ,Beck Disptch,88.5 PL,FM,RM,Transportation
163.905000,0.00000, ,York,ON,  Telequip Systems King City,Site 001 King City, , ,LTR, ,TRS
164.025000,0.00000,VFC837,Toronto,ON,Business Taxi,Crown Taxi Inc,Crown Taxi,114.8 PL,FM,BM,Transportation
164.190000,0.00000,VCR587,Toronto,ON,Business School Buses,First Student Canada,FirstCanada,CSQ,FMN,BM,Schools
164.265000,168.69000,XJL432,York,ON,Richmond Hill,Works Operations,RHWORKS,162.2 PL,FM,BM,Public Works
164.325000,165.21000,VCO580,York,ON,Business Bradford,Parkview Transit ,ParkviewTrns,141.3 PL,FM,RM,Transportation
164.355000,168.37500,VCL598,Halton,ON,Business Limehouse,Fred J Anthony   Agricultural Chemicals,FredJAnthony,241.8 PL,FM,RM,Business
164.460000,168.48000,,Toronto,ON,Business Taxi,AAA Best Choice Taxi,AAA Best Chc,,FM,RM,Transportation
164.550000,0.00000, ,Hamilton,ON,  Talk Wireless LTR VHF Hamilton,Site 001 Confirmed LCN, , ,LTR, ,TRS
164.580000,0.00000, ,York,ON,  Telequip Systems King City,Site 001 King City, , ,LTR, ,TRS
164.730000,169.14000,CHC985,Hamilton,ON,Regionwide,Region Plows,HamiltonPlow,100.0 PL,FM,RM,Public Works
164.775000,171.27000,Multiple,York,ON,Region Wide,Municipal Works Dept,YR WorksDept,136.5 PL,FM,RM,Public Works
164.790000,167.01000,CZY495,Halton,ON,Business Burlington,Dufferin Concrete  ,Dufferin ,143 DPL,FM,RM,Business
164.790000,167.01000,VCT356,Hamilton,ON,Business Hamilton,Dufferin Concrete,Dufferin ,114.8 PL,FM,BM,Business
164.850000,0.00000,,Peel,ON,Transportation Mississauga,A Black Cab,A Black Cab,107.2 PL,FMN,BM,Transportation
165.030000,0.00000,,Durham,ON,Business Whitby,Circle Taxi,CircleTaxi,115 DPL,FM,BM,Transportation
165.315000,0.00000,VCL754,York,ON,Business King City,First Student Canada,FirstCanada,71.9 PL,FM,BM,Schools
165.345000,162.73500,CFU256,Hamilton,ON,Regionwide,Hamilton Regional Conservation Authority,HRCA 2,162.2 PL,FM,BM,Public Works
165.360000,0.00000,VAJ451,Peel,ON,Transportation Brampton,Stock Transportation,Stock Transp,192.8 PL,FM,BM,Transportation
165.420000,0.00000,VCZ415,Durham,ON,Business Pickering,Dufferin Concrete,Dufferin,123.0 PL,FM,BM,Business
165.420000,0.00000,XNX491,Toronto,ON,Business Construction,Dufferin Concrete ,DufferinConc,123.0 PL,FM,BM,Business
165.585000,0.00000,XKS497,Hamilton,ON,Business Vinemount,Waterford Sand and Gravel,Waterford SG,100.0 PL,FM,BM,Business
165.600000,0.00000, ,Toronto,ON,  Yorkdale Shopping Centre,Site 001 Yorkdale, , ,DMR, ,TRS
165.630000,0.00000,VFU,York,ON,Business King City,Stock Transportation,StockTrans,127.3 PL,FM,BM,Transportation
165.735000,171.10500,CKR915,Durham,ON,Business Clarington,Student Transportation of Canada,STC,423 DPL,FM,RM,Schools
165.870000,0.00000,XNE92,York,ON,Business Markham,Markham Taxi,MarkhamTaxi,88.5 PL,FM,BM,Transportation
165.930000,170.88000,XNF804,Toronto,ON,Attractions North York,Ontario Science Centre  Security,OSC Security,118.8 PL,FM,RM,Security
166.005000,171.40500,VOZ485,Durham,ON,Business Clarington,Phoenix Transportation,Phoenix,107.2 PL,FM,RM,Schools
166.125000,0.00000, ,Hamilton,ON,  Talk Wireless LTR VHF Hamilton,Site 001 Confirmed LCN, , ,LTR, ,TRS
166.200000,171.45000,CHD383,Toronto,ON,Business School Buses,Maloron Communications Leased  Dispatch,Maloron Comm,CC 5|TG 101|SL *,DMR,RM,Transportation
166.200000,171.45000,CHD383,Toronto,ON,Business School Buses,Maloron Communications Leased  Dispatch,Maloron Comm,CC 5|TG 102|SL *,DMR,RM,Transportation
166.380000,0.00000,XNC75,Halton,ON,Business Oakville,Halton Taxi,Halton Taxi,412 DPL,FM,BM,Transportation
166.440000,0.00000, ,York,ON,  Telequip Systems King City,Site 001 King City, , ,LTR, ,TRS
166.560000,0.00000,VOT229,Peel,ON,Transportation Mississauga,Switzer Carty  Short BusVans ,SC Short/Van,162.2 PL,FMN,BM,Transportation
166.620000,0.00000,,Durham,ON,Business Pickering,Dufferin Ready Mix,Dufferin RM,411 DPL,FM,BM,Business
166.620000,0.00000, ,Toronto,ON,  Yorkdale Shopping Centre,Site 001 Yorkdale, , ,DMR, ,TRS
166.710000,0.00000,Multiple,Toronto,ON,Business Airport Taxi and Limousine,Airflight Service,Airflight,131.8 PL,FMN,BM,Transportation
166.800000,0.00000,,Hamilton,ON,African Lion Safari African Lion Safari,Safari Outfitters,Outfitters,156.7 PL,FMN,BM,Business
166.800000,0.00000,,Hamilton,ON,African Lion Safari African Lion Safari,Operations,Operations,156.7 PL,FM,M,Business
166.890000,167.61000,XJL408,Durham,ON,Scugog Township,Township Roads Dept ,Scugog Rds,203.5 PL,FM,RM,Public Works
167.130000,0.00000,XKX727,York,ON,Business Richmond Hill,Stock Transportation,Stock Trans,127.3 PL,FM,BM,Transportation
167.250000,0.00000,VCM797,Hamilton,ON,Business Ancaster,First Student Canada,FirstCanada,CSQ,FM,BM,Transportation
167.400000,0.00000,CYE388,Toronto,ON,Business Airport Taxi and Limousine,Aerofleet Taxi,Aerofleet,167.9 PL,FMN,BM,Transportation
167.985000,0.00000,VCZ868,Peel,ON,Transportation Mississauga,First Student Canada ,First Canada,CSQ,FM,BM,Transportation
168.045000,0.00000,VFS841,Halton,ON,Business Oakville,Stock Transportation,Stock Trans,127.3 PL,FM,BM,Transportation
168.210000,0.00000,VFT841,Peel,ON,Transportation Brampton,Kwik Cab ,Kwik Cab ,146.2 PL,FM,BM,Transportation
168.660000,0.00000,VEQ705,Toronto,ON,Business Taxi,COOP Cabs,CO-OP Cabs ,103.5 PL,FM,BM,Transportation
168.765000,0.00000,,Peel,ON,Business Construction,Canadian Building Materials,CBM,100.0 PL,FMN,BM,Business
168.810000,0.00000,,Peel,ON,Transportation Brampton,Bram City Taxi,Bram City,103.5 PL,FMN,BM,Transportation
168.900000,0.00000,VAF753,Durham,ON,Business Clarington,First Student Canada,First Student,,FM,BM,Schools
168.960000,168.27000,Multiple,Durham,ON,Regionwide,Durham Region Works Alarms,D Rgn Works ,123.0 PL,FM,RM,Data
168.990000,0.00000,XJJ25,Halton,ON,Oakville REACT,Special Events,REACT Sp Events,CSQ,FMN,BM,Ham
169.155000,0.00000, ,Peel,ON,  Caledon Town,Site 001 Concession 6, , ,LTR, ,TRS
169.275000,0.00000,,Toronto,ON,Business Taxi,5 Star Taxi,5 Star Taxi,250.3 PL,FM,,Transportation
169.290000,165.27000,VEA309,Halton,ON,Burlington,Hydro,BurlingHyd,151.4 PL,FM,RM,Utilities
169.290000,172.03500,XJF881,Durham,ON,Pickering,Engineering  Public Works,Public Works,110.9 PL,FM,RM,Public Works
169.350000,0.00000,Multiple,York,ON,Aurora,Town Works Dept,Aurora Works,156.7 PL,FM,BM,Public Works
